Date and Time:                Mon May 13 09:05:46.564 2024
Software Version:             4.30.30000.0
Temperature (C):              -90
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         1
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              630
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000



417.6445	4190
417.9035	4227
418.16251	4465
418.42151	4607
418.68048	4735
418.93948	4904
419.19846	5093
419.45746	5203
419.71643	5303
419.97543	5691
420.23441	5705
420.49341	5933
420.75238	6375
421.01135	6407
421.27032	6982
421.5293	7518
421.78827	8817
422.04724	11619
422.30621	16958
422.56519	26480
422.82416	42679
423.08313	60591
423.34207	61251
423.60104	61341
423.85999	65535
424.11896	65535
424.3779	65535
424.63687	0
424.89581	0
425.15475	0
425.41373	0
425.67267	0
425.93161	0
426.19055	0
426.44949	0
426.70844	0
426.96738	0
427.22629	0
427.48523	0
427.74417	0
428.00308	0
428.26202	0
428.52094	0
428.77988	0
429.03879	0
429.2977	0
429.55664	0
429.81555	0
430.07446	0
430.33337	0
430.59229	0
430.8512	0
431.11011	0
431.36899	0
431.6279	0
431.88681	0
432.14569	0
432.4046	0
432.66348	0
432.92239	0
433.18127	0
433.44016	0
433.69907	0
433.95795	0
434.21683	0
434.47571	0
434.73459	0
434.99347	0
435.25232	0
435.5112	0
435.77008	0
436.02896	0
436.28781	0
436.54669	0
436.80554	0
437.06439	0
437.32327	0
437.58212	0
437.84097	0
438.09982	0
438.35867	0
438.61752	0
438.87637	0
439.13522	0
439.39404	0
439.65289	0
439.91174	0
440.17056	0
440.42941	0
440.68823	0
440.94705	0
441.20587	0
441.46472	0
441.72354	0
441.98236	0
442.24118	0
442.5	0
442.75879	0
443.01761	0
443.27643	0
443.53522	0
443.79404	0
444.05283	0
444.31165	0
444.57043	0
444.82922	0
445.08801	0
445.34683	0
445.60562	0
445.86441	19420
446.12317	0
446.38196	5647
446.64075	7722
446.89954	7673
447.15829	7400
447.41708	7292
447.67584	7292
447.9346	7192
448.19339	6978
448.45215	7007
448.71091	6640
448.96967	6537
449.22842	6738
449.48718	6599
449.74594	6278
450.00467	6408
450.26343	6204
450.52219	6284
450.78091	6131
451.03967	6129
451.2984	6090
451.55713	5977
451.81589	5930
452.07462	5863
452.33334	5608
452.59207	5789
452.8508	5618
453.1095	5711
453.36823	5681
453.62695	5595
453.88565	5643
454.14438	5435
454.40308	5596
454.6618	5435
454.9205	5464
455.1792	5468
455.4379	5543
455.69659	5560
455.95529	5466
456.21399	5510
456.47269	5449
456.73138	5296
456.99005	5454
457.24875	5471
457.50742	5211
457.76611	5376
458.02478	5414
458.28345	5375
458.54211	5323
458.80078	5402
459.05945	5383
459.31812	5355
459.57678	5389
459.83545	5352
460.09409	5526
460.35275	5500
460.61139	5283
460.87006	5534
461.12869	5556
461.38733	5476
461.64597	5420
461.9046	5376
462.16324	5346
462.42188	5368
462.68051	5603
462.93915	5480
463.19775	5512
463.45639	5456
463.715	5655
463.97363	5497
464.23224	5557
464.49084	5646
464.74945	5640
465.00806	5629
465.26666	5713
465.52527	5684
465.78387	5856
466.04248	5952
466.30106	5913
466.55966	5688
466.81824	6068
467.07684	6024
467.33542	6179
467.59399	6138
467.85257	6264
468.11115	6269
468.36972	6280
468.6283	6410
468.88684	6411
469.14542	6521
469.40399	6664
469.66254	6643
469.92108	6897
470.17966	6732
470.4382	6699
470.69675	6906
470.95529	6831
471.21384	7077
471.47238	7083
471.7309	7109
471.98944	7052
472.24799	7360
472.5065	7259
472.76501	7408
473.02356	7472
473.28207	7576
473.54059	7607
473.7991	7674
474.05762	7582
474.31613	7682
474.57462	7975
474.83313	8107
475.09161	8176
475.35013	8049
475.60861	8253
475.8671	8321
476.12561	8263
476.38409	8304
476.64258	8543
476.90106	8318
477.15952	8393
